C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/sampleCount,C0/noDataCount,C0/median,C0/p10,C0/p90,C0/cloudCoveragePercent
2023-11-06T00:00:00.000Z,0.09339679032564163,0.1288004368543625,0.11268351785838604,0.013281981737394703,4,0,,,,0
2023-11-03T00:00:00.000Z,0.0886530876159668,0.09708169847726822,0.09344895370304585,0.0031041743578077334,4,0,,,,100
2023-11-01T00:00:00.000Z,0.44043466448783875,0.44182273745536804,0.4411401078104973,0.0004929182584956577,4,0,,,,100
2023-10-29T00:00:00.000Z,0.11675599962472916,0.16283071041107178,0.1424184199422598,0.018373580990670543,4,0,,,,0
2023-10-27T00:00:00.000Z,0.20941995084285736,0.21355397999286652,0.21130195632576942,0.0017020329907677402,4,0,,,,100
2023-10-24T00:00:00.000Z,0.19266055524349213,0.2430555522441864,0.21953678131103516,0.022827131701996153,4,0,,,,0
2023-10-22T00:00:00.000Z,0.18579882383346558,0.2305593490600586,0.20872493833303452,0.021054150677620235,4,0,,,,0
2023-10-19T00:00:00.000Z,0.23026059567928314,0.26010480523109436,0.24606919288635254,0.013285498844662604,4,0,,,,100
2023-10-17T00:00:00.000Z,0.2982456088066101,0.3000781834125519,0.2989984601736069,0.000742548751758951,4,0,,,,100
2023-10-14T00:00:00.000Z,0.18991899490356445,0.2507166564464569,0.22058702260255814,0.024838298351679354,4,0,,,,0
2023-10-12T00:00:00.000Z,0.23183050751686096,0.275515079498291,0.25453292950987816,0.020769760207247665,4,0,,,,0
2023-10-09T00:00:00.000Z,0.22620846331119537,0.23727545142173767,0.23195496201515198,0.005033355771843411,4,0,,,,100
2023-10-07T00:00:00.000Z,0.2551540732383728,0.27862343192100525,0.26689038425683975,0.011203026430610632,4,0,,,,0
